Label,x,y,z
Optode_1,-9,0,2.25
Optode_2,-9,0,-2.25
Optode_3,-4.5,0,2.25
Optode_4,-4.5,0,-2.25
Optode_5,0,0,2.25
Optode_6,0,0,-2.25
Optode_7,4.5,0,2.25
Optode_8,4.5,0,-2.25
Optode_9,9,0,2.25
Optode_10,9,0,-2.25
Ref_Optode_1,-5.625,0,0
Ref_Optode_2,5.625,0,0
Source_1,-6.75,0,0
Source_2,-2.25,0,0
Source_3,2.25,0,0
Source_4,6.75,0,0


